reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Sandstone creek ,8530_ds_ef1,stream,00000ZYMO,440-767000-00000-00000-0000-0000-000-000-000-000-000-000,,,1,2024-09-17,GPS General,9,582695,6073848,,
2,Sandstone Creek          ,8530_us_ef1,stream,00000ZYMO,440-767000-00000-00000-0000-0000-000-000-000-000-000-000,,,2,2024-09-17,GPS General,9,582746,6073899,,
3,Tributary to Knapper creek ,198935_ds_ef1,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,3,2024-09-18,GPS General,9,636456,6020753,,
4,Tributary to Knapper Creek ,198935_us,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,4,2024-09-18,GPS General,9,636433,6020756,,
5,Tributary to Knapper Creek ,198940_us,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,5,2024-09-18,GPS General,9,636684,6020931,,
6,Tributary to Knapper creek ,198935_us_ef1,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,6,2024-09-18,GPS General,9,636428,6020753,,
7,Tributary to Knapper Creek ,198940_ds,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,7,2024-09-18,GPS General,9,636911,6021148,,
8,Stock creek ,195943_ds_ef1,stream,00000BULK,460-589500-00000-00000-0000-0000-000-000-000-000-000-000,,,8,2024-09-19,GPS General,9,645437,6035013,,
9,Stock creek ,195943_us_ef1,stream,00000BULK,460-589500-00000-00000-0000-0000-000-000-000-000-000-000,,,9,2024-09-19,GPS General,9,645443,6035051,,
10,Simpson Creek,203122_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,10,2024-09-20,GPS General,9,614941,6075220,,
11,Simpson Creek,58264_ds_ef1,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,11,2024-09-20,GPS General,9,614296,6074956,,
12,Simpson Creek,58264_ds_ef2,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,12,2024-09-20,GPS General,9,614459,6075212,,
13,Simpson Creek,58264_us_ef1,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,13,2024-09-20,GPS General,9,614278,6074922,,
14,Simpson Creek,58245_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,14,2024-09-20,GPS General,9,615378,6075124,,
15,Simpson Creek,58245_ds,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,15,2024-09-20,GPS General,9,615431,6075100,,
16,Comeau Creek,198916_us,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,16,2024-09-25,GPS General,9,580450,6115728,,
17,Comeau Creek,198916_ds,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,17,2024-09-25,GPS General,9,580299,6116046,,
18,Comeau Creek,198913_us,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,18,2024-09-25,GPS General,9,581255,6115635,,
19,Comeau Creek,198916_ds_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,19,2024-09-26,GPS General,9,580405,6115833,,
20,Comeau Creek,198916_ds_ef2,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,20,2024-09-26,GPS General,9,580385,6115817,,
21,Comeau Creek,198916_us_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,21,2024-09-26,GPS General,9,580451,6115733,,
22,Comeau Creek,198913_ds_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,22,2024-09-26,GPS General,9,581249,6115664,,
23,Comeau Creek,198913_ds_ef2,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,23,2024-09-26,GPS General,9,581246,6115674,,
24,Comeau Creek,198913_us_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,24,2024-09-26,GPS General,9,581241,6115617,,
25,Simpson Creek,58264_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,25,2024-09-27,GPS General,9,614272,6074923,,
